网络缓存值,优先使用SMB v1协议,启用音频的时间伸缩,跳帧,硬件加速,首选视频分辨率,启用回放增益,音频输出,yzq
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,157.6952
1000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,169.4344
1000.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,161.1519
0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,170.4807
1000.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,165.5872
500.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,168.2643
500.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,170.2615
2000.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,166.1938
500.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,157.7104
2000.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,166.1462
2000.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,160.1366
500.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,157.3368
500.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,162.2457
0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,162.0723
0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,167.4003
500.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,161.3147
